   -5.59672E-02   -5.37417E-03   -5.37417E-03   -5.37417E-03   -5.37417E-03   -5.37417E-03   -5.37417E-03   -5.37417E-03   -5.37417E-03   -5.37417E-03   -5.37417E-03   -5.37417E-03
    1.00000E-03    1.00000E-16    1.00000E-16    1.00000E-16    1.00000E-16    1.00000E-16    1.00000E-16    1.00000E-16    1.00000E-16    1.00000E-16    1.00000E-16    1.00000E-16
    2.00000E-03    1.00000E-05    1.00000E-05    1.00000E-05    1.00000E-05    1.00000E-05    1.00000E-05    1.00000E-05    1.00000E-05    1.00000E-05    1.00000E-05    1.00000E-05
    1.00000E-16    1.00000E-16    1.00000E-16    1.00000E-16    1.00000E-16    1.00000E-16    1.00000E-16    1.00000E-16    1.00000E-16    1.00000E-16    1.00000E-16    1.00000E-16
    5.00000E-04    5.00000E-04    5.00000E-04    5.00000E-04    5.00000E-04    5.00000E-04    5.00000E-04    5.00000E-04    5.00000E-04    5.00000E-04    5.00000E-04    5.00000E-04
    1.50000E-04    1.50000E-04    1.50000E-04    1.50000E-04    1.50000E-04    1.50000E-04    1.50000E-04    1.50000E-04    1.50000E-04    1.50000E-04    1.50000E-04    1.50000E-04
    1.00000E-09    1.00000E-09    1.00000E-09    1.00000E-09    1.00000E-09    1.00000E-09    1.00000E-09    1.00000E-09    1.00000E-09    1.00000E-09    1.00000E-09    1.00000E-09
    1.00000E-08    1.00000E-08    1.00000E-08    1.00000E-08    1.00000E-08    1.00000E-08    1.00000E-08    1.00000E-08    1.00000E-08    1.00000E-08    1.00000E-08    1.00000E-08
    1.00000E-02    1.00000E-02    1.00000E-02    1.00000E-02    1.00000E-02    1.00000E-02    1.00000E-02    1.00000E-02    1.00000E-02    1.00000E-02    1.00000E-02    1.00000E-02
    1.00000E-09    1.00000E-09    1.00000E-09    1.00000E-09    1.00000E-09    1.00000E-09    1.00000E-09    1.00000E-09    1.00000E-09    1.00000E-09    1.00000E-09    1.00000E-09
